UserID,YOB,Gender,Income,HouseholdStatus,EducationLevel,Party,Q124742,Q124122,Q123464,Q123621,Q122769,Q122770,Q122771,Q122120,Q121699,Q121700,Q120978,Q121011,Q120379,Q120650,Q120472,Q120194,Q120012,Q120014,Q119334,Q119851,Q119650,Q118892,Q118117,Q118232,Q118233,Q118237,Q117186,Q117193,Q116797,Q116881,Q116953,Q116601,Q116441,Q116448,Q116197,Q115602,Q115777,Q115610,Q115611,Q115899,Q115390,Q114961,Q114748,Q115195,Q114517,Q114386,Q113992,Q114152,Q113583,Q113584,Q113181,Q112478,Q112512,Q112270,Q111848,Q111580,Q111220,Q110740,Q109367,Q108950,Q109244,Q108855,Q108617,Q108856,Q108754,Q108342,Q108343,Q107869,Q107491,Q106993,Q106997,Q106272,Q106388,Q106389,Q106042,Q105840,Q105655,Q104996,Q103293,Q102906,Q102674,Q102687,Q102289,Q102089,Q101162,Q101163,Q101596,Q100689,Q100680,Q100562,Q99982,Q100010,Q99716,Q99581,Q99480,Q98869,Q98578,Q98059,Q98078,Q98197,Q96024,votes
3620,1967,Female,"$75,000 - $100,000",Married (w/kids),Bachelor's Degree,Democrat,,,,,,,,,,,,,,,,,,,No,,Giving,Yes,No,Idealist,No,Yes,Cool headed,Odd hours,Yes,Happy,Yes,Yes,No,Yes,,,,,,,,,,,,,,,,,,Yes,Yes,No,Yes,Demanding,No,PC,Yes,,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,No,Own,,,,,,,,,,,,,,,,,,29
3621,1984,Male,"$25,001 - $50,000",Married (w/kids),Associate's Degree,Republican,,No,No,Yes,No,No,Public,No,Yes,No,Yes,No,No,Yes,Science,Study first,No,No,No,No,Giving,No,No,Pragmatist,Yes,No,Cool headed,Odd hours,No,Right,Yes,Yes,Yes,Yes,P.M.,Yes,Start,Yes,Yes,Circumstances,Yes,Yes,Yes,No,No,Mysterious,No,Yes,Tunes,People,Yes,No,Yes,No,Yes,Supportive,No,PC,Yes,Risk-friendly,No,Umm...,No,Space,No,Online,No,No,Yes,Yes,Grrr people,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Own,Optimist,Mom,Yes,Yes,Yes,No,Nope,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,100
3622,1976,Male,"$25,001 - $50,000",Single (w/kids),,Republican,Yes,Yes,No,Yes,No,No,Public,No,Yes,No,Yes,No,No,No,Science,Study first,Yes,No,Yes,No,Giving,No,Yes,Pragmatist,No,Yes,Hot headed,Odd hours,Yes,Happy,No,No,Yes,No,A.M.,Yes,,No,No,,,,,Yes,,,,,Tunes,People,No,No,Yes,Yes,No,Supportive,No,PC,Yes,Cautious,No,Yes!,No,Socialize,No,Online,No,Yes,No,,,No,Yes,No,,,,,,,,,,Rent,Pessimist,Mom,No,No,No,Yes,,,,No,Yes,Yes,Yes,Yes,No,No,Yes,78
3623,1996,Female,"$75,000 - $100,000",Single (no kids),Current K-12,Republican,,,,,No,No,Public,,,,,,,,,,,Yes,,,,,,,,,Cool headed,Standard hours,,,Yes,No,No,Yes,A.M.,No,Start,No,Yes,Me,No,Yes,Yes,No,No,Mysterious,No,No,Tunes,People,Yes,Yes,Yes,No,Yes,Supportive,Yes,PC,No,Risk-friendly,No,Yes!,Yes,Socialize,No,In-person,No,No,Yes,Yes,Grrr people,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Own,,,,,,,,,,,,,No,Yes,Yes,Yes,Yes,65
3624,1985,Male,"$50,000 - $74,999",Married (no kids),Bachelor's Degree,Independent,,No,No,Yes,No,No,Private,No,Yes,No,Yes,No,No,Yes,Science,Study first,No,No,Yes,Yes,Receiving,No,No,Pragmatist,Yes,No,Cool headed,Odd hours,No,Right,Yes,Yes,No,No,P.M.,Yes,End,Yes,No,Circumstances,Yes,Yes,No,Yes,No,Mysterious,Yes,No,Talk,Technology,No,No,Yes,Yes,Yes,Demanding,No,PC,No,Cautious,Yes,Yes!,No,Socialize,No,In-person,No,Yes,Yes,Yes,Yay people!,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Rent,Optimist,Dad,No,Yes,No,Yes,Nope,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,100
3625,1996,Male,"$50,000 - $74,999",,Current K-12,Other,,,,,,,,No,No,No,Yes,No,,Yes,Science,,,,,,,,,,,,,,,,,Yes,No,Yes,P.M.,,End,,,Me,,,,,,,,,,,,,,,,,,PC,,,,,,,,,,,,,,,,,,,No,No,Yes,,,,,,,,,Yes,No,No,Nope,No,No,No,Yes,No,No,,,,No,28
3626,1991,Male,"under $25,000",Single (no kids),Bachelor's Degree,Independent,,,,,,,,,,,,,,,,,,,,,,,Yes,Pragmatist,Yes,Yes,Cool headed,Odd hours,No,Happy,No,Yes,No,No,P.M.,Yes,End,No,Yes,Circumstances,Yes,Yes,Yes,Yes,No,Mysterious,No,No,Tunes,Technology,,,,,,,Yes,PC,No,Cautious,,Umm...,,Space,,,,,,,,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Own,Pessimist,Dad,No,No,No,No,Nope,Yes,No,No,No,No,No,Yes,No,No,Yes,64
3627,1998,Female,"$100,001 - $150,000",Single (no kids),Current K-12,Democrat,,,,,,,,,,,,,,,,Try first,No,No,No,No,Receiving,Yes,Yes,Idealist,No,Yes,,,,,,,,,,Yes,Start,Yes,No,Circumstances,Yes,Yes,No,Yes,Yes,,,,Tunes,Technology,,,,,,,,,No,Cautious,No,Umm...,No,Space,Yes,Online,No,No,No,Yes,Grrr people,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Own,Pessimist,Dad,No,No,Yes,Yes,Nope,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,66
3628,1978,Male,"over $150,000",Married (no kids),,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Mac,Yes,Cautious,No,Umm...,No,Space,No,In-person,Yes,Yes,Yes,Yes,Grrr people,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,,,,,,Yes,No,Yes,Check!,Yes,No,No,No,No,Yes,Yes,No,No,Yes,40
3629,1977,Male,"$100,001 - $150,000",Married (w/kids),Master's Degree,Independent,No,No,No,Yes,Yes,Yes,Public,No,Yes,No,Yes,Yes,Yes,Yes,Science,Study first,No,Yes,Yes,Yes,Giving,Yes,No,Pragmatist,No,Yes,Hot headed,Standard hours,No,Happy,Yes,Yes,No,Yes,P.M.,Yes,End,Yes,Yes,Me,Yes,Yes,No,Yes,No,TMI,Yes,Yes,Talk,Technology,Yes,Yes,Yes,Yes,Yes,Supportive,No,PC,Yes,Cautious,No,Yes!,No,Socialize,No,In-person,Yes,Yes,Yes,Yes,Yay people!,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Own,Optimist,Mom,No,Yes,No,Yes,Check!,Yes,No,No,Yes,Yes,Yes,Only-child,No,Yes,Yes,101
